customer_id,subscription_tier,subscription_start,subscription_end
CUST0099,Basic,2023-02-07,
CUST0100,Basic,2023-08-18,
CUST0101,Basic,2023-12-31,
CUST0102,Standard,2023-02-20,2023-08-12
CUST0103,Basic,2023-09-21,2024-01-08
CUST0104,Standard,2023-10-10,
CUST0105,Premium,2023-01-27,2023-05-17
CUST0106,Basic,2023-08-14,
CUST0107,Standard,2023-10-04,
CUST0108,Standard,2023-10-13,2024-02-10
CUST0109,Basic,2023-04-07,2023-07-22
CUST0110,Basic,2023-10-11,2024-01-25
CUST0111,Basic,2023-11-13,2024-03-01
CUST0112,Basic,2023-10-31,
CUST0113,Premium,2023-05-27,
CUST0114,Premium,2023-01-04,
CUST0115,Standard,2023-02-04,
CUST0116,Premium,2023-07-11,
CUST0117,Premium,2023-02-18,
CUST0118,Basic,2023-01-17,
CUST0119,Premium,2023-06-21,
CUST0120,Standard,2023-08-08,
CUST0121,Premium,2023-06-07,2023-10-02
CUST0122,Premium,2023-02-15,
CUST0123,Basic,2023-01-06,
CUST0124,Basic,2023-04-09,
CUST0125,Basic,2023-08-21,2023-11-21
CUST0126,Standard,2023-02-06,2023-05-21
CUST0127,Premium,2023-10-07,
CUST0128,Premium,2023-12-15,2024-03-25
CUST0129,Basic,2023-10-29,
CUST0130,Standard,2023-06-30,
CUST0131,Standard,2023-04-05,
CUST0132,Basic,2023-04-09,
CUST0133,Basic,2023-07-07,2023-10-29
CUST0134,Basic,2023-04-26,2023-08-20
CUST0135,Premium,2023-07-10,
CUST0136,Basic,2023-09-10,
CUST0137,Standard,2023-06-10,
CUST0138,Standard,2023-09-13,
CUST0139,Standard,2023-11-19,2024-02-28
CUST0140,Premium,2023-05-08,
CUST0141,Premium,2023-01-18,
CUST0142,Basic,2023-10-08,2024-01-24
CUST0143,Standard,2023-08-11,2023-11-27
CUST0144,Basic,2023-02-23,
CUST0145,Basic,2023-02-27,
CUST0146,Basic,2023-11-19,
CUST0147,Standard,2023-12-26,
CUST0148,Standard,2023-06-23,
CUST0149,Basic,2023-10-07,
CUST0150,Basic,2023-04-24,
